Percentile,Marks,Day,Session
99,190,1,S1
98.5,177,1,S1
98,166,1,S1
97.5,158,1,S1
97,151,1,S1
96.5,145,1,S1
96,139,1,S1
95.5,135,1,S1
95,132,1,S1
94,122,1,S1
93,114,1,S1
92,110,1,S1
91,99,1,S1
99,175,1,S2
98.5,163,1,S2
98,152,1,S2
97.5,144,1,S2
97,138,1,S2
96.5,133,1,S2
96,126,1,S2
95.5,123,1,S2
95,117,1,S2
94,109,1,S2
93,98,1,S2
92,94,1,S2
91,89,1,S2
99,189,2,S1
98.5,174,2,S1
98,164,2,S1
97.5,155,2,S1
97,150,2,S1
96.5,144,2,S1
96,138,2,S1
95.5,131,2,S1
95,124,2,S1
94,113,2,S1
93,108,2,S1
92,104,2,S1
91,100,2,S1
99,181,2,S2
98.5,170,2,S2
98,161,2,S2
97.5,154,2,S2
97,148,2,S2
96.5,143,2,S2
96,139,2,S2
95.5,137,2,S2
95,135,2,S2
94,130,2,S2
93,120,2,S2
92,113,2,S2
91,107,2,S2
99,200,3,S1
98.5,186,3,S1
98,177,3,S1
97.5,168,3,S1
97,161,3,S1
96.5,154,3,S1
96,150,3,S1
95.5,145,3,S1
95,141,3,S1
94,135,3,S1
93,126,3,S1
92,120,3,S1
91,116,3,S1
99,187,3,S2
98.5,174,3,S2
98,164,3,S2
97.5,154,3,S2
97,149,3,S2
96.5,144,3,S2
96,139,3,S2
95.5,135,3,S2
95,131,3,S2
94,124,3,S2
93,117,3,S2
92,112,3,S2
91,107,3,S2
99,170,4,S1
98.5,161,4,S1
98,150,4,S1
97.5,142,4,S1
97,136,4,S1
96.5,131,4,S1
96,126,4,S1
95.5,122,4,S1
95,117,4,S1
94,110,4,S1
93,104,4,S1
92,98,4,S1
91,93,4,S1
99,185,4,S2
98.5,171,4,S2
98,162,4,S2
97.5,153,4,S2
97,146,4,S2
96.5,141,4,S2
96,136,4,S2
95.5,131,4,S2
95,127,4,S2
94,117,4,S2
93,114,4,S2
92,108,4,S2
91,103,4,S2
99,161,5,S1
98.5,150,5,S1
98,141,5,S1
97.5,130,5,S1
97,128,5,S1
96.5,121,5,S1
96,115,5,S1
95.5,113,5,S1
95,111,5,S1
94,106,5,S1
93,99,5,S1
92,94,5,S1
91,89,5,S1
99,165,6,S1
98.5,155,6,S1
98,145,6,S1
97.5,139,6,S1
97,131,6,S1
96.5,125,6,S1
96,121,6,S1
95.5,117,6,S1
95,113,6,S1
94,104,6,S1
93,101,6,S1
92,96,6,S1
91,91,6,S1
99,189,6,S2
98.5,179,6,S2
98,168,6,S2
97.5,160,6,S2
97,154,6,S2
96.5,147,6,S2
96,143,6,S2
95.5,136,6,S2
95,133,6,S2
94,125,6,S2
93,118,6,S2
92,112,6,S2
91,106,6,S2
99,192,7,S1
98.5,181,7,S1
98,172,7,S1
97.5,165,7,S1
97,159,7,S1
96.5,154,7,S1
96,149,7,S1
95.5,144,7,S1
95,139,7,S1
94,132,7,S1
93,125,7,S1
92,118,7,S1
91,113,7,S1
99.9,261,1,S1
99.8,241,1,S1
99.7,233,1,S1
99.6,219,1,S1
99.5,215,1,S1
99.4,208,1,S1
99.3,203,1,S1
99.2,199,1,S1
99.1,195,1,S1
99.9,235,1,S2
99.8,218,1,S2
99.7,209,1,S2
99.6,201,1,S2
99.5,195,1,S2
99.4,189,1,S2
99.3,184,1,S2
99.2,182,1,S2
99.1,178,1,S2
99.9,247,2,S1
99.8,237,2,S1
99.7,227,2,S1
99.6,218,2,S1
99.5,210,2,S1
99.4,204,2,S1
99.3,198,2,S1
99.2,194,2,S1
99.1,191,2,S1
99.9,229,2,S2
99.8,216,2,S2
99.7,214,2,S2
99.6,205,2,S2
99.5,203,2,S2
99.4,197,2,S2
99.3,191,2,S2
99.2,190,2,S2
99.1,188,2,S2
99.9,243,3,S1
99.8,241,3,S1
99.7,235,3,S1
99.6,228,3,S1
99.5,221,3,S1
99.4,216,3,S1
99.3,212,3,S1
99.2,207,3,S1
99.1,203,3,S1
99.9,248,3,S2
99.8,228,3,S2
99.7,224,3,S2
99.6,219,3,S2
99.5,210,3,S2
99.4,203,3,S2
99.3,200,3,S2
99.2,197,3,S2
99.1,190,3,S2
99.9,234,4,S1
99.8,221,4,S1
99.7,207,4,S1
99.6,198,4,S1
99.5,192,4,S1
99.4,187,4,S1
99.3,182,4,S1
99.2,178,4,S1
99.1,175,4,S1
99.9,251,4,S2
99.8,234,4,S2
99.7,220,4,S2
99.6,212,4,S2
99.5,207,4,S2
99.4,200,4,S2
99.3,195,4,S2
99.2,191,4,S2
99.1,188,4,S2
99.9,226,5,S1
99.8,209,5,S1
99.7,194,5,S1
99.6,188,5,S1
99.5,176,5,S1
99.4,175,5,S1
99.3,173,5,S1
99.2,171,5,S1
99.1,164,5,S1
99.9,224,6,S1
99.8,214,6,S1
99.7,199,6,S1
99.6,194,6,S1
99.5,188,6,S1
99.4,183,6,S1
99.3,176,6,S1
99.2,173,6,S1
99.1,168,6,S1
99.9,252,6,S2
99.8,238,6,S2
99.7,227,6,S2
99.6,217,6,S2
99.5,214,6,S2
99.4,208,6,S2
99.3,197,6,S2
99.2,199,6,S2
99.1,193,6,S2
99.9,242,7,S1
99.8,230,7,S1
99.7,223,7,S1
99.6,214,7,S1
99.5,210,7,S1
99.4,205,7,S1
99.3,200,7,S1
99.2,197,7,S1
99.1,194,7,S1