Marks,Day,Percentile,Session
166,1,99,S1
155,1,98.5,S1
144,1,98,S1
135,1,97.5,S1
127,1,97,S1
116,1,96.5,S1
111,1,96,S1
104,1,95.5,S1
98,1,94,S1
93,1,93,S1
90,1,92,S1
78,1,91,S1
75,1,90,S1
163,1,99,S2
148,1,98.5,S2
138,1,98,S2
128,1,97.5,S2
127,1,97,S2
117,1,96.5,S2
113,1,96,S2
112,1,95.5,S2
96,1,94,S2
90,1,93,S2
85,1,92,S2
86,1,91,S2
76,1,90,S2
168,2,99,S1
157,2,98.5,S1
143,2,98,S1
134,2,97.5,S1
125,2,97,S1
123,2,96.5,S1
118,2,96,S1
121,2,95.5,S1
103,2,94,S1
105,2,93,S1
97,2,92,S1
97,2,91,S1
83,2,90,S1
189,2,99,S2
176,2,98.5,S2
165,2,98,S2
151,2,97.5,S2
146,2,97,S2
141,2,96.5,S2
136,2,96,S2
130,2,95.5,S2
114,2,94,S2
108,2,93,S2
99,2,92,S2
97,2,91,S2
89,2,90,S2
168,3,99,S1
152,3,98.5,S1
142,3,98,S1
135,3,97.5,S1
127,3,97,S1
120,3,96.5,S1
116,3,96,S1
113,3,95.5,S1
98,3,94,S1
92,3,93,S1
85,3,92,S1
79,3,91,S1
74,3,90,S1
164,3,99,S2
151,3,98.5,S2
142,3,98,S2
132,3,97.5,S2
125,3,97,S2
122,3,96.5,S2
117,3,96,S2
109,3,95.5,S2
101,3,94,S2
95,3,93,S2
86,3,92,S2
80,3,91,S2
80,3,90,S2
168,4,99,S1
154,4,98.5,S1
142,4,98,S1
139,4,97.5,S1
130,4,97,S1
119,4,96.5,S1
113,4,96,S1
112,4,95.5,S1
96,4,94,S1
91,4,93,S1
83,4,92,S1
79,4,91,S1
72,4,90,S1
175,4,99,S2
161,4,98.5,S2
148,4,98,S2
130,4,97.5,S2
124,4,97,S2
123,4,96.5,S2
116,4,96,S2
104,4,95.5,S2
98,4,94,S2
91,4,93,S2
100,4,92,S2
90,4,91,S2
75,4,90,S2
155,5,99,S1
146,5,98.5,S1
133,5,98,S1
144,5,97.5,S1
138,5,97,S1
113,5,96.5,S1
109,5,96,S1
121,5,95.5,S1
95,5,94,S1
87,5,93,S1
111,5,92,S1
106,5,91,S1
74,5,90,S1
175,5,99,S2
162,5,98.5,S2
151,5,98,S2
155,5,97.5,S2
150,5,97,S2
131,5,96.5,S2
126,5,96,S2
133,5,95.5,S2
109,5,94,S2
103,5,93,S2
113,5,92,S2
109,5,91,S2
84,5,90,S2
192,6,99,S1
177,6,98.5,S1
166,6,98,S1
158,6,97.5,S1
151,6,97,S1
143,6,96.5,S1
136,6,96,S1
133,6,95.5,S1
121,6,94,S1
115,6,93,S1
,6,92,S1
,6,91,S1
99,6,90,S1
189,6,99,S2
177,6,98.5,S2
165,6,98,S2
,6,97.5,S2
,6,97,S2
146,6,96.5,S2
140,6,96,S2
136,6,95.5,S2
125,6,94,S2
118,6,93,S2
,6,92,S2
,6,91,S2
106,6,90,S2